person,gender,popularity
Rui Kuroki,M,0.6
Heather I. Denton,F,0.6
Stephanie Ito,NS,0.6
Andrew Blau,NS,0.6
Lisa McCullough,F,0.84
Charlie Estepp,M,1.534
Gary Fry,NS,0.6
Ty Williams,M,0.661
Go Abe,NS,0.6
Jaime Norman,NS,0.6
Beverly Jusi,NS,0.6
Edward Poveda,NS,0.6
Lisa Bojarski,NS,0.6
Ryan Tighe,NS,0.6
Juning Li,NS,0.6
Kei Itsutsuji,NS,0.6
Ellen C. Troy,NS,0.6
Phill Zagajewski,NS,0.6
Norm Hvam,NS,0.6
Marcus Epps,NS,0.6
Jack Jennings,M,0.6
Melanie C. Brown,NS,0.6
Amy Lin,NS,0.6
Wendi Morris,NS,0.6
Hiroyuki Nakano,NS,0.6
Jerry Carville,NS,0.6
Alan Schwartz,NS,0.6
Ryutaro Ishimori,NS,0.6
Sean Carville,NS,0.6
Junichiro Aki,NS,0.6
Ming Qiu,F,1.22
Uma Thurman,F,31.486
David Carradine,M,16.337
Daryl Hannah,F,18.971
Michael Madsen,M,16.493
Gordon Liu Chia-hui,M,10.954
Michael Parks,M,5.003
Perla Haney-Jardine,F,10.689
Larry Bishop,M,4.367
Samuel L. Jackson,M,53.233
Lucy Liu,F,35.01
Vivica A. Fox,F,16.018
Julie Dreyfus,F,7.353
Christopher Allen Nelson,M,2.146
Helen Kim,F,1.866
Laura Cayouette,F,1.96
Jun Kunimura,M,8.367
Goro Daimon,M,0.6
Kazuki Kitamura,M,6.443
Akaji Maro,M,5.163
Shun Sugata,M,3.028
Sachiko Fujii,F,1.214
Sakichi Satō,M,2.177
Yoji Tanaka,M,4.49
Sō Yamanaka,M,1.634
Chiaki Kuriyama,F,7.711
Claire Smithies,F,4.312
Issey Takahashi,M,5.251
Sid Haig,M,8.457
Bo Svenson,M,5.204
Clark Middleton,M,2.608
Michael Bowen,M,5.52
Jeannie Epper,F,1.624
Ambrosia Kelley,F,2.641
Shana Stein,F,0.6
Caitlin Keats,F,2.726
Jonathan Loughran,M,7.579
James Parks,M,3.283
Kenji Ohba,M,4.711
Yoshiyuki Morishita,M,1.74
Robert Rodriguez,M,9.312
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Lawrence Bender,M,1.646
Uma Thurman,F,31.486
Robert Richardson,M,3.54
Sally Menke,F,2.391
Shin'ichi Chiba,M,4.934
Koko Maeda,F,2.067
Koko Maeda,F,2.067
Johanna Ray,F,1.766
Harry Cohen,M,1.38
Zoë Bell,F,5.737
Bob Weinstein,M,2.843
Harvey Weinstein,M,6.239
David Wasco,M,1.4
Scott Martin Gershin,M,4.501
Yohei Taneda,M,1.097
RZA,M,10.004
RZA,M,10.004
Bob Beher,NS,0.84
Sandy Reynolds-Wasco,F,1.4
Dino Dimuro,NS,0.6
John Hartigan,M,0.6
Ilona Herman,F,1.932
Frankie Chung,M,1.099
Steve Joyner,M,1.22
Erica Steinberg,F,5.249
Catherine Marie Thomas,F,1.685
E. Bennett Walsh,M,2.642
Ricardo Del Río,M,1.38
Joan Sobel,F,0.6
Daniel Bradford,M,0.741
Peggy Eghbalian,NS,0.6
Christopher Tandon,M,0.735
Jasmine Yuen Carrucan,NS,0.828
Jasmine Yuen Carrucan,NS,0.828
Nerses Gezalyan,NS,0.6
James Moriana,NS,0.6
Jeffrey Wilhoit,NS,0.84
Cao Juiping,NS,0.694
Ian Kincaid,NS,0.84
Larry McConkey,NS,0.747
Carl Thiel,M,0.6
Kerry Ann Carmean,NS,0.6
Ted Gidlow,M,0.6
Mary Saisselin,NS,0.6
Jake Garber,M,0.725
Glenn Cannon,NS,0.6
Kumiko Ogawa,NS,0.98
Lee Wimer,NS,0.6
Tom Hartig,M,1.38
Frederick H. Stahly,M,0.658
Michael Hertlein,M,0.6
Wylie Stateman,M,2.076
Andrew Cooper,M,1.123
Kanani Wolf,NS,0.6
Heba Thorisdottir,F,0.6
Peter Davidson,M,0.6
Gretchen Engel,NS,0.694
Corey Pritchett,NS,0.621
Keith Adams,M,1.094
Daniel Grant North,NS,0.6
Jay B. Richardson,NS,0.84
Derek Raser,NS,1.288
Douglas Dresser,NS,0.6
David James,NS,0.6
David Greenbaum,NS,0.6
Michael Minkler,M,1.22
Hugh Waddell,M,0.98
Ron Barr,NS,0.6
Brett C. Smith,NS,1.388
Greg Steele,M,1.474
Hector C. Gika,M,0.6
Peter Owen,NS,0.6
Douglas S. McClintock II,M,0.6
John R. Manocchia,M,0.6
Will Casey,NS,0.6
Kyra Panchenko,NS,0.6
Tysuela Hill-Scott,NS,0.6
Edward J. Borasch Jr,M,0.6
Eddie Bydalek,M,0.6
Gerardo Rene Arellano,NS,0.6
Dede Nickerson,NS,0.6
Jim Hansen,M,1.4
Emanuel Millar,NS,0.6
Rachael Lin Gallaghan,NS,0.84
Mary Ramos,F,0.98
Mark Ulano,M,2.869
Pete Anthony,M,0.611
Pete Anthony,M,0.611
John Bires,NS,0.6
Steve Borgese,NS,0.6
John Stone,M,0.6
Archie Hankins,NS,0.6
Jeff Plauster,M,0.6
Jessica Miglio,NS,0.6
Geraldine Brezca,NS,0.6
Carlos Ponce de León,M,0.6
Cornelia Ryan,F,0.6
Vincent Joseph Flaherty,M,0.6
William Paul Clark,M,1.22
Laurel Pickering,NS,0.98
Elizabeth Norton,NS,0.6
Jamie Felz,NS,0.6
Herb Ault,NS,0.6
David Ladish,M,0.6
Paul Abraham,NS,0.6
Robert Aaron Brown,M,0.6
Don Feeney,NS,0.6
Ian Elias,NS,0.6
Peter Mavromates,NS,0.6
Rome Duval,NS,0.6
Jennifer A. Bolitho,NS,0.6
Elida Cerda,NS,0.6
Bruce Callahan,NS,0.6
Arturo del Río,NS,0.6
Greg Fausak,NS,0.6
Khan Griffith,M,0.6
Jennifer S. Deayton,F,0.6
Jason Gustafson,NS,0.6
Yingchun Fang,NS,0.6
Manuel Barrera Oliver,NS,0.6
Thomas W. Lay Jr.,NS,0.6
Julie Helton,NS,0.6
Kristina Soderquist,NS,0.6
Norberto Nava,M,0.6
Hally Grounds,NS,0.6
Ariel Oclarino,NS,0.6
Satya Bellord,NS,0.6
Edgar Ambriz Espinoza,NS,0.98
Jeff Brinker,NS,0.6
Jessica Vogl,NS,0.6
Alan Meyerson,NS,0.6
Christopher Haydostian,NS,0.6
Víctor Solorio,NS,0.694
Sue Smith,F,0.6
Kevin Connolly,NS,0.6
Rich King,M,1.048
Matthew J. Barden,NS,0.6
Antonio V. Garrido,M,0.6
Rob Moses,NS,0.6
Aaron Denenberg,NS,0.6
Michele Flynn,NS,0.6
Dawn Massaro,NS,0.6
Mike Hurst,NS,0.6
Heather I. Denton,F,0.6
Stephanie Ito,NS,0.6
Andrew Blau,NS,0.6
Janet Kusnick,NS,0.6
Jaime Norman,NS,0.6
Keith O. Wilson,NS,0.6
Ernesto Cairo,NS,0.6
Beverly Jusi,NS,0.6
Dan Duffy,NS,0.6
Edward Poveda,NS,0.6
Ellen C. Troy,NS,0.6
Phill Zagajewski,NS,0.6
Marcus Epps,NS,0.6
Jack Jennings,M,0.6
Amy Lin,NS,0.6
Wendi Morris,NS,0.6
Jerry Carville,NS,0.6
Alan Schwartz,NS,0.6
Sean Carville,NS,0.6
Stephanie A. Fowler,NS,0.6
Perry Strong,NS,0.6
Chris Cullen,NS,0.98
Cheryl Bermeo,F,0.6
Liuba Esperon Otero,NS,0.6
Jessica James,NS,0.6
Arturo Saldivar,NS,0.6
Kurt Russell,M,36.334
Zoë Bell,F,5.737
Rosario Dawson,F,29.704
Vanessa Ferlito,F,11.453
Sydney Tamiia Poitier,F,7.446
Tracie Thoms,F,11.59
Rose McGowan,F,16.675
Jordan Ladd,F,4.741
Mary Elizabeth Winstead,F,41.037
Quentin Tarantino,M,27.877
Marcy Harriell,F,1.688
Eli Roth,M,12.525
Omar Doom,M,2.656
Michael Bacall,M,2.523
Monica Staggs,F,2.25
Jonathan Loughran,M,7.579
Michael Parks,M,5.003
James Parks,M,3.283
Marley Shelton,F,12.625
Helen Kim,F,1.866
Tina Rodriguez,F,3.499
Nicky Katt,M,4.238
Marta Mendoza,F,0.6
Tim Murphy,M,0.6
Melissa Arcaro,F,1.388
Electra Avellan,F,1.863
Elise Avellan,F,2.763
Eurlyne Epper,F,2.188
Jamie L. Dunno,F,0.6
Chris King,NS,0.6
April March,F,0.6
Julitta Pourciau,F,0.6
Amanda Rivas,F,0.84
Kelley Robins Hicks,F,1.015
Gary Teague,NS,1.032
Tommy Nix,M,2.602
Robert Rodriguez,M,9.312
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Sally Menke,F,2.391
Harry Cohen,M,1.38
Harry Cohen,M,1.38
Zoë Bell,F,5.737
Bob Weinstein,M,2.843
Harvey Weinstein,M,6.239
Elizabeth Avellan,F,0.84
Beth Sepko,F,0.656
Mary Vernieu,F,1.229
Joe D'Augustine,NS,0.98
Dino Dimuro,NS,0.6
Christopher Assells,NS,0.6
Steve Joyner,M,1.22
Nina Proctor,NS,0.6
Erica Steinberg,F,5.249
Jeffrey J. Dashnaw,M,2.4
Jeffrey J. Dashnaw,M,2.4
Ken Zorniak,NS,0.6
Martin Kitrosser,M,2.389
Gregory Nicotero,M,2.921
Gregory Nicotero,M,2.921
Jeanette Scott,F,0.6
Peggy Eghbalian,NS,0.6
Howard Berger,M,2.664
Michael Keller,M,1.38
Joe Rivera,NS,0.6
Barbara Harris,F,1.882
Nerses Gezalyan,NS,0.6
Nerses Gezalyan,NS,0.6
James Moriana,NS,0.6
Jeffrey Wilhoit,NS,0.84
Greg Zimmerman,M,0.924
Shannon McIntosh,F,0.6
Tracy Keehn-Dashnaw,F,1.22
Jimmy Lindsey,M,0.6
J.C. Cantu,M,0.74
David Hack,M,1.094
Tracey Landon,NS,1.654
John McLeod,NS,0.619
Crystal Santos,F,0.98
Harrison Witt,NS,0.6
Dennis Liddiard,NS,1.851
Jonny Pray,NS,0.6
Tom Hartig,M,1.38
Jeffrey W. Petersen,M,0.6
Michael Hertlein,M,0.6
Margit Pfeiffer,F,0.6
Wylie Stateman,M,2.076
Pete Stockton,NS,0.6
Jim Schultz,M,0.6
Jeff B. Adams Jr.,NS,0.6
Andrew Cooper,M,1.123
Ann Scibelli,NS,0.98
Ann Scibelli,NS,0.98
Michael Minkler,M,1.22
Caylah Eddleblute,NS,0.828
Jennifer Long,NS,0.6
Ken Gaston-Kilgore,NS,0.6
P.K. Munson,M,0.6
Pam Fuller,F,0.604
Drew Webster,NS,0.6
Joe McCusker,NS,0.6
Peter Zinda,NS,1.4
Hap Weaver,NS,0.6
Scott Wolf,M,0.98
Will Casey,NS,0.6
Tara Smith,F,0.6
Tysuela Hill-Scott,NS,0.6
Darylin Nagy,NS,0.652
Debbie Cortez Haber,NS,0.6
Steve A. Hagberg,NS,0.6
Edward J. Borasch Jr,M,0.6
David Michael Ableman,NS,0.6
Mike Walker,NS,0.6
Renée Tondelli,NS,0.6
Michael Janov,NS,0.6
Arin Finger,F,0.6
Ryan Tudhope,NS,0.6
Stefan Tarzan,NS,0.98
John 'Fest' Sandau,M,0.63
Dan Kneece,M,2.058
Brenda J. Chambers,NS,0.6
Janice Janacek,NS,0.6
Vanessa Nirode,NS,0.6
Mirin Soliz,NS,0.6
Nina Kawasaki,NS,1.38
Cecil D. Evans,NS,0.6
Ken Stranahan,NS,0.6
Travis Carr,NS,0.6
Eddie Bydalek,M,0.6
Dana Reed,F,0.98
Amber Kirsch,NS,0.6
Crystal Falkner-Paysse,NS,0.6
Joe Montenegro,M,0.6
Cynthia Streit,F,1.38
Mark Ulano,M,2.869
Stephanie Johnson,NS,0.6
Stephen R. Sheridan,NS,0.6
Dina L. Margolin,F,0.98
Shawn Wallbridge,NS,0.6
Selena Carrillo,F,0.608
Edison Jackson,NS,0.694
Logan Cooper,NS,0.6
James F. Cornick,NS,0.6
Mike Revell,M,0.6
Matthew McGinn,NS,0.6
Steve White,M,0.98
Brian Bettwy,NS,1.38
Clark Campbell,NS,0.98
Rocky Quiroz,NS,0.6
Mo Henry,M,1.96
Richard L. Carden,NS,0.6
Jim Shelton,NS,0.6
Jamie Franta,NS,0.6
Karin Silvestri,F,9.281
Chrissy Weathersby Ball,F,0.6
Ronald Perkins,NS,0.6
Alan R. Serotta,NS,0.6
Gary A. Beaird,M,0.6
Bethany Orlemann,NS,0.6
Neil Fraser,NS,0.6
Ferrell A. Shinnick,NS,0.6
Kurt Volk,NS,0.6
Sebastian Vega,NS,0.6
Erin Michelle Hopkins,NS,0.6
Raul Mello,NS,0.6
Sean Wright,NS,0.6
Rick Pratt,NS,0.6
Kenneth Bosse,NS,0.6
Jennifer Mosley,NS,0.6
Daniel Yates,NS,0.6
Dirk Rogers,NS,1.38
Cheri Jacobs,F,0.6
Amanda Curry,NS,0.98
Matthew K. Grigsby,NS,0.6
Eric Johnson,NS,0.6
April Kelley,F,0.6
Susan Jasso,F,0.6
Michael Dudash,NS,0.6
Kurt Kornemann,NS,0.6
Kelly Bogdan,NS,0.6
Mike Sheeren,NS,0.6
Todd Smiley,NS,0.6
Todd Green,NS,0.6
Mary Duque,NS,0.6
Richard M. Moore,NS,0.6
Robert Janecka,NS,0.6
Scott Conn,NS,0.6
Matt Fliehler,NS,0.6
David Rimer,NS,0.766
Barbara Chennault,NS,0.6
Omar Torres,NS,0.6
Michael Semon,NS,0.6
Carrin Welch,NS,0.6
Jammie S. Goodman,NS,0.6
Garry Kirks,NS,0.6
James Toole,NS,0.6
Douglas Gessaman,NS,0.6
Timothy W. Lobdell,NS,0.6
Desmond O'Regan,NS,0.6
Michael P. Weller,NS,0.6
Peter Bret Lennon,NS,1.38
Dan Hammond,NS,0.6
John Eschberger,NS,0.6
Erin Randall,NS,0.6
Matt Morrow,NS,0.6
Kyle Kaufman,NS,0.6
Brian Cross,NS,0.6
Brian Montgomery,NS,0.6
Emily Davis,NS,0.6
Adam Picchietti,NS,0.6
Denny Rubianes,NS,0.6
Greg Urich,NS,0.6
Rob DaFoe,NS,0.6
Brad Pitt,M,56.496
Mélanie Laurent,F,13.135
Christoph Waltz,M,18.598
Eli Roth,M,12.525
Michael Fassbender,M,45.398
Diane Kruger,F,29.846
Daniel Brühl,M,25.756
Til Schweiger,M,13.355
Gedeon Burkhard,M,14.164
Jacky Ido,M,3.142
B.J. Novak,M,16.633
Omar Doom,M,2.656
August Diehl,M,5.666
Denis Ménochet,M,6.771
Sylvester Groth,M,4.464
Martin Wuttke,M,4.879
Mike Myers,M,29.294
Julie Dreyfus,F,7.353
Léa Seydoux,F,21.749
Richard Sammel,M,3.82
Alexander Fehling,M,5.471
Rod Taylor,M,14.396
Samm Levine,M,3.43
Paul Rust,M,6.726
Michael Bacall,M,2.523
Arndt Schwering-Sohnrey,M,2.992
Petra Hartung,F,3.718
Volker Michalowski,M,3.783
Ken Duken,M,8.931
Christian Berkel,M,2.016
Tina Rodriguez,F,3.499
Lena Friedrich,F,2.678
Ludger Pistor,M,1.447
Jana Pallaske,F,7.122
Wolfgang Lindner,M,0.6
Michael Kranz,M,0.706
Rainer Bock,M,3.718
André Penvern,M,2.108
Sebastian Hülk,M,11.702
Buddy Joe Hooker,M,5.404
Sönke Möhring,M,3.326
Carlos Fidel,M,2.112
Hilmar Eichhorn,M,1.272
Patrick Elias,M,2.658
Eva Löbau,F,3.261
Salvadore Brandt,M,1.176
Jasper Linnewedel,M,0.6
Wilfried Hochholdinger,M,1.361
Olivier Girard,M,0.6
Michael Scheel,M,0.776
Leo Plank,M,0.652
Andreas Tietz,NS,0.6
Bo Svenson,M,5.204
Enzo G. Castellari,M,2.409
Christian Brückner,M,1.409
Samuel L. Jackson,M,53.233
Bela B.,M,1.053
Noemi Besedes,F,0.7
Hélène Cardona,F,0.84
Jake Garber,M,0.725
Sabrina Rattey,F,1.76
Alex Boden,M,0.6
Guido Föhrweißer,M,1.632
Harvey Keitel,M,23.147
Andrew Napier,M,0.631
Gregory Nicotero,M,2.921
Quentin Tarantino,M,27.877
Vitus Wieser,M,0.98
Bea-Marie Rück,F,0.6
Daniela Schwerdt,F,0.6
Anne-Sophie Franck,F,0.62
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Lawrence Bender,M,1.646
Robert Richardson,M,3.54
Sally Menke,F,2.391
Johanna Ray,F,1.766
Harry Cohen,M,1.38
Zoë Bell,F,5.737
Zoë Bell,F,5.737
Lloyd Phillips,M,0.61
Maggie Cheung,F,12.704
Tom Tykwer,M,2.672
Bob Weinstein,M,2.843
Harvey Weinstein,M,6.239
David Wasco,M,1.4
Simone Bär,F,3.265
Anna B. Sheppard,F,4.101
Joe D'Augustine,NS,0.98
Cloris Leachman,F,13.095
Sandy Reynolds-Wasco,F,1.4
Henning Molfenter,M,0.724
Charlie Woebcken,M,1.094
Marco Bittner Rosser,NS,1.38
Sebastian T. Krawinkel,M,0.6
Antje Rau,F,1.582
Sascha Girndt,M,0.6
Alexandra Nazahn,F,0.6
Stephan O. Gessler,NS,0.6
Bud Davis,M,1.172
Tony Lamberti,M,0.6
Bruce Moriarty,M,2.842
Olivier Carbone,M,1.4
Erica Steinberg,F,5.249
Jeffrey J. Dashnaw,M,2.4
John Dykstra,M,1.4
Katrin Schneider,NS,0.6
Martin Kitrosser,M,2.389
Gregory Nicotero,M,2.921
Barry Primus,M,2.798
Howard Berger,M,2.664
Carlos Fidel,M,2.112
Giorgio Armani,M,1.22
Julie Garcés,F,0.6
Tim Trella,M,1.62
Gabriel Roth,M,1.553
David Scheunemann,M,0.6
Pilar Savone,F,0.6
Jenny Jue,F,0.98
Evan Henke,NS,0.6
Gregg Baxter,NS,0.6
Christoph Fisser,M,0.84
François Duhamel,M,1.552
Jake Garber,M,0.725
Dörte Eben,NS,0.6
Nils Konrad,NS,0.6
Wylie Stateman,M,2.076
Sebastian Meuschel,NS,0.828
Jim Schultz,M,0.6
Caroline Veyssière,NS,0.6
Matthias Pilz,NS,0.648
Heba Thorisdottir,F,0.6
Ann Scibelli,NS,0.98
Michael Minkler,M,1.22
Tina Anderson,F,0.6
Klaus Große Darrelmann,NS,0.6
Viktor Müller,M,0.694
Michael Scheel,M,0.776
Sheryl Benko,NS,0.6
Emanuel Millar,NS,0.6
Yvan Lucas,NS,0.753
Mary Ramos,F,0.6
Mark Ulano,M,2.895
Stephanie Johnson,NS,0.696
Gregor Tavenner,NS,1.4
Birgit Dierken,NS,0.98
Geraldine Brezca,NS,0.6
Gregor Wilson,NS,0.6
William Paul Clark,M,1.4
Gero Neumann,NS,0.6
Erin Hopkins,NS,0.6
Danny Bortfeld,NS,0.6
Lester Dunton,NS,0.6
Christopher Berg,M,0.6
Matthew Sakata,NS,0.6
Sebastiano Cartier,NS,0.6
Nicole Dierken,F,0.6
Kristin Haberland,F,0.6
Dennis Grzesczak,M,0.6
Sönke Korries,NS,0.6
Michael Duessel,NS,0.6
Jamie Foxx,M,28.924
Christoph Waltz,M,18.598
Leonardo DiCaprio,M,66.736
Kerry Washington,F,27.751
Samuel L. Jackson,M,53.233
Walton Goggins,M,19.114
Dennis Christopher,M,2.705
James Remar,M,13.007
David Steen,M,1.62
Dana Gourrier,F,2.771
Nichole Galicia,F,19.137
Laura Cayouette,F,1.96
Ato Essandoh,M,6.419
Sammi Rotibi,M,2.001
Clay Donahue Fontenot,M,3.415
Escalante Lundy,M,0.98
Miriam F. Glover,F,1.954
Don Johnson,M,16.592
Franco Nero,M,18.532
James Russo,M,11.513
Tom Wopat,M,7.093
Don Stroud,M,4.121
Amber Tamblyn,F,6.713
Bruce Dern,M,19.77
M.C. Gainey,M,9.833
Cooper Huckabee,M,2.65
Doc Duhame,M,1.458
Jonah Hill,M,33.115
Lee Horsley,M,8.073
Zoë Bell,F,5.737
Michael Bowen,M,5.52
Robert Carradine,M,11.995
Jake Garber,M,1.083
Ted Neeley,M,1.855
James Parks,M,3.283
Tom Savini,M,7.423
Michael Parks,M,5.003
John Jarratt,M,2.968
Quentin Tarantino,M,27.877
Amari Cheatom,M,1.4
Keith Jefferson,M,1.272
Marcus Henderson,M,1.4
Lil Chuuch,M,0.6
Kinetic,M,0.694
Louise Stratten,F,4.099
Kim Robillard,M,1.269
Shana Stein,F,0.6
Shannon Hazlett,F,0.6
Jack Lucarelli,M,1.22
Victoria Thomas,F,3.275
Grace Collins,F,0.6
Sharon Pierre-Louis,F,0.6
Christopher Berry,M,3.902
Kim Collins,M,0.696
Dane Rhodes,M,1.834
J.D. Evermore,M,7.158
Rex Linn,M,19.928
Michael Bacall,M,2.523
Ronan Hice,M,0.6
Ned Bellamy,M,6.577
Dave Coennen,M,0.6
Danièle Watts,F,1.4
Jon Eyez,M,2.79
Omar J. Dorsey,M,1.578
Evan Parke,M,5.193
Craig Stark,M,1.896
Brian Brown,M,0.6
Ritchie Montgomery,M,2.031
Nicholas Dashnaw,M,0.6
Jarrod Bunch,M,0.652
Edrick Browne,M,3.071
Kerry Sims,M,0.6
Jamal Duff,M,2.602
Todd Allen,M,2.421
Lewis Smith,M,4.863
Keniaryn Mitchell,NS,0.6
Jakel Marshall,NS,0.6
Carl Singleton,M,0.98
Ashley Toman,NS,0.6
John McConnell,M,3.576
Mark Amos,M,0.6
Monica Rene'e Anderson,F,0.6
Marsha Stephanie Blake,F,2.924
Catherine Lambert,F,1.62
Deborah Ayorinde,F,6.195
Takara Clark,F,1.614
Kimberley Drummond,F,1.4
Tenaj L. Jackson,F,0.98
Carl Bailey,M,1.141
Ross P. Cook,M,0.98
Gregory Allen Gabroy,M,0.6
Seth Bailey,M,0.6
David G. Baker,M,1.4
Richie J. Ladner,M,0.6
Glen Warner,M,1.4
Kesha Bullard,F,0.98
Edward J. Clare,M,0.84
Jordon Michael Corbin,M,0.6
Mike DeMille,M,0.6
Gary Grubbs,M,9.795
Justin Hall,M,1.4
Sandra Linz,F,0.6
Kasey James,M,0.6
Skipper Landry,NS,0.6
Cindy Mah,F,0.6
Johnny Otto,M,4.68
Belinda Owino,F,0.6
Mark Ulano,M,2.895
Misty Upham,F,1.01
Russ Tamblyn,M,8.368
Fatimah Taliah,F,0.6
Santana Draper,M,0.6
Robert Rodriguez,M,9.312
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Robert Richardson,M,3.54
Harry Cohen,M,1.38
Victoria Thomas,F,3.275
Bob Weinstein,M,2.843
Harvey Weinstein,M,6.239
James W. Skotchdopole,M,3.682
James W. Skotchdopole,M,3.682
RZA,M,10.004
Michael Shamberg,M,4.653
Stacey Sher,F,2.524
Richard Roundtree,M,10.214
Sacha Baron Cohen,M,10.361
Kurt Russell,M,36.334
J. Michael Riva,M,1.186
Leslie A. Pope,F,1.094
Tim Monich,NS,0.714
Tony Lamberti,M,0.6
David F. Klassen,M,1.092
Sharen Davis,F,0.98
Franco Nero,M,18.532
Page Buckner,NS,0.6
Jeffrey J. Dashnaw,M,2.4
Joseph Gordon-Levitt,M,29.503
Nancy Piraquive,F,0.6
Fred Raskin,M,1.625
Martin Kitrosser,M,2.389
Gregory Nicotero,M,2.921
Luis Bacalov,M,0.98
Reginald Hudlin,M,1.697
Andrew S. Eisen,M,0.6
Andrew S. Eisen,M,0.6
Erik Polczwartek,M,0.6
Lady Gaga,F,10.161
Branden Spencer,NS,0.6
Ian Kincaid,NS,0.84
Dror Mohar,M,0.6
Shannon McIntosh,F,0.6
Mara LePere-Schloop,NS,0.6
Larry McConkey,NS,0.747
Pilar Savone,F,0.6
Gary A. Hecker,M,3.431
Gino Crognale,M,0.6
Greg D'Auria,NS,0.6
Jake Garber,M,1.083
Elaine Ramires,NS,0.6
Chere Theriot,NS,0.6
Gary Marullo,NS,0.6
Nancy Nugent,F,0.652
Mandi Dillin,NS,0.6
Michael Hertlein,M,0.6
Wylie Stateman,M,1.586
Russell R. Anderson,NS,0.6
Cuitlahuac Morales Velazquez,NS,0.6
Lauri Mills,NS,0.6
Andrew Cooper,M,1.077
John C. Stuver,M,0.694
Heba Thorisdottir,F,0.6
Hope M. Parrish,F,0.6
Molly Allen,F,0.98
Robb Boyd,NS,0.6
Michael Minkler,M,1.4
Tina Anderson,F,0.6
Molly Mikula,NS,0.6
Hector C. Gika,M,0.6
Victoria Wood,F,0.6
Deidra Dixon,F,1.642
Durel Yates,NS,0.6
Marc A. Hammer,NS,0.6
Will Casey,NS,0.6
Michael D. Wilhoit,NS,1.385
Tysuela Hill-Scott,NS,0.6
Renée Tondelli,NS,0.84
A. Welch Lambeth,NS,0.6
Steve Duncan,NS,0.98
Sian Grigg,NS,2.031
Camille Friend,F,1.396
Caleb Guillotte,NS,0.6
Lauren Abiouness,F,0.6
Brian Walker,M,0.6
Julie Stark,F,0.6
Joseph Guerino,NS,0.6
Kei Rowan-Young,NS,0.6
Remi Savva,NS,0.6
Bruce Del Castillo,M,1.932
Mark Amos,M,0.6
Craig Branham,NS,0.98
Yvan Lucas,NS,0.753
Mary Ramos,F,0.6
Mark Ulano,M,2.895
Gregor Tavenner,NS,1.4
Jessica Lakoff,F,0.6
William Paul Clark,M,1.4
William Paul Clark,M,1.4
Nicole Reed LeFevre,NS,0.6
Craig S. Jaeger,M,0.6
Kellie Robinson,NS,0.6
Greg Hale,M,0.728
Vince LeBlanc,NS,0.6
Darren Patnode,NS,0.6
Chandler Vinar,NS,0.6
Greg Steele,NS,0.6
Stephanie Portnoy Porter,F,3.783
John Lamkin,NS,0.6
Chris Britt,NS,0.6
Jason Portera,NS,0.6
Samuel L. Jackson,M,53.233
Kurt Russell,M,36.334
Jennifer Jason Leigh,F,40.947
Walton Goggins,M,19.114
Demián Bichir,M,9.435
Tim Roth,M,20.822
Michael Madsen,M,16.493
Bruce Dern,M,19.77
James Parks,M,3.283
Dana Gourrier,F,2.771
Zoë Bell,F,5.737
Lee Horsley,M,8.073
Gene Jones,M,2.211
Keith Jefferson,M,0.763
Craig Stark,M,1.896
Belinda Owino,F,0.6
Channing Tatum,M,68.091
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Robert Richardson,M,3.54
Victoria Thomas,F,3.275
Ennio Morricone,M,2.772
Bill Abbott,M,1.123
Bob Weinstein,M,2.843
Harvey Weinstein,M,6.239
Georgia Kacandes,F,0.6
Yohei Taneda,M,1.097
Stacey Sher,F,2.524
Richard L. Johnson,M,1.009
Richard N. Gladstein,M,0.861
Rosemary Brandenburg,F,1.518
Jeffrey J. Dashnaw,M,2.4
Fred Raskin,M,1.625
Martin Kitrosser,M,2.389
Andrew S. Eisen,M,0.6
Greg Funk,M,1.4
Shannon McIntosh,F,0.6
Gary A. Hecker,M,3.431
Carole Zacek,NS,0.6
Lara Perez Takagi,NS,0.6
Courtney Hoffman,F,1.306
Jonny Pray,NS,0.6
Benjamin Edelberg,NS,0.6
Sylvain Lasseur,NS,0.6
Michael Hertlein,M,0.6
Wylie Stateman,M,2.076
Wylie Stateman,M,2.076
Christian P. Minkler,M,0.6
Rick Owens,NS,0.694
Darren Poe,NS,0.98
Tricia Yoo,F,0.6
Joshua Coleman,NS,0.694
Andrew Cooper,M,1.123
Heba Thorisdottir,F,0.6
Bob Moore Jr.,NS,0.828
Lisa Goldberg,NS,0.6
Michael Harden,NS,0.6
Michael Minkler,M,1.22
Michael Minkler,M,1.22
Tina Anderson,F,0.6
Stan Parks,NS,1.38
Hector C. Gika,M,0.6
Barbara Cantu,NS,0.6
Marina Marit,NS,1.094
Michael Diersing,NS,0.6
Marc A. Hammer,NS,0.6
Diana Choi,F,0.6
Bruno Van Zeebroeck,M,3.76
Camille Friend,F,0.838
Robert 'Rock' Galotti,M,1.407
